KPIT Technologies Ltd,543.35,566.1,554.1,588.0,135.2,801.0,563.2,700,2022-02-25 11:11:52,22.75,4.1869881291984905,True,IN,INR
Vodafone Idea Ltd,9.65,10.2,9.9,10.5,4.55,16.8,10.2,11.5,2022-02-25 11:14:29,0.5499999999999989,5.699481865284963,True,IN,INR
Steel Authority of India Limited,85.0,91.35,88.4,92.25,67.1,151.3,91.6,130,2022-02-25 11:14:30,6.349999999999994,7.470588235294111,True,IN,INR
Birlasoft Ltd,382.2,405.75,397.2,411.0,215.9,585.85,406.0,500,2022-02-25 11:14:32,23.55000000000001,6.161695447409736,True,IN,INR
Trident Ltd,50.15,51.15,47.65,52.0,13.1,70.35,51.05,70,2022-02-25 11:14:34,1.0,1.9940179461615155,True,IN,INR
KPIT Technologies Ltd,543.35,565.7,554.1,588.0,135.2,801.0,563.2,700,2022-02-25 11:14:34,22.350000000000023,4.113370755498302,True,IN,INR
Jubilant Ingrevia Ltd,461.75,486.9,477.35,495.8,241.3,838.75,487.6,700,2022-02-25 11:14:35,25.149999999999977,5.446670276123439,False,IN,INR
Infosys Ltd,1678.15,1708.25,1696.85,1728.15,1244.75,1953.9,1700,2000,2022-02-25 11:14:37,30.09999999999991,1.7936418079432654,False,IN,INR
Tata Power Company Limited,204.3,219.0,209.55,220.95,89.9,267.85,219.35,241.1,2022-02-25 11:14:38,14.699999999999989,7.195301027900141,True,IN,INR
Tata Motors Limited,427.95,458.95,441.6,465.7,268.45,536.7,459.65,510,2022-02-25 11:14:39,31.0,7.243836896833742,False,IN,INR
Coforge Ltd,4226.05,4453.0,4260.0,4475.0,2450.5,6135.0,4317,4759,2022-02-25 11:14:40,226.94999999999982,5.370263011559253,False,IN,INR
Bharti Airtel Limited,670.9,690.35,677.5,693.8,490.34,781.8,691.85,750,2022-02-25 11:14:42,19.450000000000045,2.8990907735877247,True,IN,INR
Coal India Ltd,150.0,157.25,152.25,158.0,123.4,203.8,157.2,170,2022-02-25 11:14:43,7.25,4.833333333333333,False,IN,INR
Hindustan Copper Ltd.,105.65,113.0,109.3,113.85,105.0,196.75,113.2,150,2022-02-25 11:14:44,7.349999999999994,6.956933270231892,False,IN,INR
Indian Oil Corporation Ltd,110.0,112.95,111.15,118.5,86.75,141.5,110,140,2022-02-25 11:14:46,2.950000000000003,2.6818181818181843,True,IN,INR
Oil & Natural Gas Corporation Limited,156.65,159.55,156.8,160.35,97.45,176.35,159.6,171.35,2022-02-25 11:14:46,2.9000000000000057,1.8512607724226016,True,IN,INR
Reliance Industries Ltd,2255.75,2295.6,2276.25,2307.95,1876.7,2751.35,2293.8,2450,2022-02-25 11:14:48,39.84999999999991,1.7665964756732753,False,IN,INR
Affle (India) Ltd,1114.5,1170.45,1154.9,1177.85,763.02,1511.0,1170.0,1300,2022-02-25 11:14:49,55.950000000000045,5.02018842530283,False,IN,INR
Borosil Renewables Ltd,514.05,543.9,533.1,555.0,213.25,747.9,545.15,700,2022-02-25 11:14:50,29.850000000000023,5.806828129559386,False,IN,INR
Gail India,129.75,133.2,131.0,134.2,125.2,171.3,133.4,150,2022-02-25 11:14:51,3.4499999999999886,2.6589595375722457,True,IN,INR
Zomato Ltd,78.5,81.2,80.75,83.4,75.75,169.0,81.1,100,2022-02-25 11:14:53,2.700000000000003,3.439490445859876,False,IN,INR
Yes Bank Limited,12.6,13.15,12.85,13.35,10.5,16.9,13.15,14.05,2022-02-25 11:14:54,0.5500000000000007,4.365079365079371,True,IN,INR
Larsen & Toubro Limited,1757.35,1789.35,1770.65,1798.7,1306.0,2078.55,1788.2,1900,2022-02-25 11:14:55,32.0,1.8209235496628446,False,IN,INR
NTPC Limited,124.4,129.05,125.0,129.85,97.05,152.1,129.3,150,2022-02-25 11:14:56,4.650000000000006,3.7379421221864995,False,IN,INR
ITC Ltd,208.5,215.05,210.55,215.4,199.1,265.3,215.05,270,2022-02-25 11:14:57,6.550000000000011,3.1414868105515645,False,IN,INR
Apple Inc,160.07,162.74,152.0,162.85,116.21,182.94,160,180,2022-02-25 11:14:59,2.670000000000016,1.668020241144509,True,US,Dollar
Tesla Inc,764.04,800.77,700.0,802.48,539.49,1243.49,800,900,2022-02-25 11:14:59,36.73000000000002,4.8073399298466075,True,US,Dollar
Amazon Inc,2896.54,3027.16,2790.0,3034.98,2707.04,3773.08,2900,3200,2022-02-25 11:15:00,130.6199999999999,4.509518252811972,True,US,Dollar
Meta Platform(Facebook),178.24,177.22,169.08,177.72,169.08,324.8,160,190,2022-02-25 11:15:02,-1.0200000000000102,-0.5722621184919268,True,US,Dollar
Alphabet Inc,2551.76,2653.82,2499.07,2660.0,1990.23,3030.93,2590,3000,2022-02-25 11:15:03,102.05999999999995,3.9995924381603256,True,US,Dollar
NVIDIA Corporation,223.87,237.48,208.9,238.0,115.67,346.47,230,300,2022-02-25 11:15:03,13.609999999999985,6.079421092598376,True,US,Dollar
Vodafone Idea Ltd,9.65,10.25,9.9,10.5,4.55,16.8,10.2,11.5,2022-02-25 11:15:26,0.5999999999999996,6.217616580310877,True,IN,INR
Steel Authority of India Limited,85.0,91.7,88.4,92.25,67.1,151.3,91.35,130,2022-02-25 11:15:26,6.700000000000003,7.882352941176474,True,IN,INR
Birlasoft Ltd,382.2,406.9,397.2,411.0,215.9,585.85,405.75,500,2022-02-25 11:15:27,24.69999999999999,6.462585034013603,True,IN,INR
Trident Ltd,50.15,51.15,47.65,52.0,13.1,70.35,51.05,70,2022-02-25 11:15:28,1.0,1.9940179461615155,True,IN,INR
KPIT Technologies Ltd,543.35,566.25,554.1,588.0,135.2,801.0,563.2,700,2022-02-25 11:15:29,22.899999999999977,4.214594644336059,True,IN,INR
Jubilant Ingrevia Ltd,461.75,487.5,477.35,495.8,241.3,838.75,486.9,700,2022-02-25 11:15:30,25.75,5.576610720086627,False,IN,INR
Infosys Ltd,1678.15,1707.1,1696.85,1728.15,1244.75,1953.9,1700,2000,2022-02-25 11:15:31,28.949999999999818,1.7251139647826368,False,IN,INR
Tata Power Company Limited,204.3,219.6,209.55,220.95,89.9,267.85,219.0,241.1,2022-02-25 11:15:32,15.299999999999983,7.488986784140961,True,IN,INR
Tata Motors Limited,427.95,459.6,441.6,465.7,268.45,536.7,458.95,510,2022-02-25 11:15:33,31.650000000000034,7.395723799509296,False,IN,INR
Coforge Ltd,4226.05,4457.75,4260.0,4475.0,2450.5,6135.0,4317,4759,2022-02-25 11:15:34,231.69999999999982,5.4826611138060315,False,IN,INR
Bharti Airtel Limited,670.9,688.65,677.5,693.8,490.34,781.8,690.35,750,2022-02-25 11:15:35,17.75,2.645699806230437,True,IN,INR
Coal India Ltd,150.0,157.5,152.25,158.0,123.4,203.8,157.2,170,2022-02-25 11:15:36,7.5,5.0,False,IN,INR
Hindustan Copper Ltd.,105.65,113.1,109.3,113.85,105.0,196.75,113.0,150,2022-02-25 11:15:37,7.449999999999989,7.051585423568375,False,IN,INR
Indian Oil Corporation Ltd,110.0,113.05,111.15,118.5,86.75,141.5,110,140,2022-02-25 11:15:38,3.049999999999997,2.7727272727272703,True,IN,INR
Oil & Natural Gas Corporation Limited,156.65,159.7,156.8,160.35,97.45,176.35,159.55,171.35,2022-02-25 11:15:39,3.049999999999983,1.947015639961687,True,IN,INR
Reliance Industries Ltd,2255.75,2295.1,2276.25,2307.95,1876.7,2751.35,2293.8,2450,2022-02-25 11:15:40,39.34999999999991,1.7444308988141377,False,IN,INR
Affle (India) Ltd,1114.5,1170.05,1154.9,1177.85,763.02,1511.0,1170.0,1300,2022-02-25 11:15:41,55.549999999999955,4.984297891431131,False,IN,INR
Borosil Renewables Ltd,514.05,543.8,533.1,555.0,213.25,747.9,543.9,700,2022-02-25 11:15:42,29.75,5.787374768991343,False,IN,INR
Gail India,129.75,133.15,131.0,134.2,125.2,171.3,133.2,150,2022-02-25 11:15:44,3.4000000000000057,2.620423892100197,True,IN,INR
Zomato Ltd,78.5,81.15,80.75,83.4,75.75,169.0,81.1,100,2022-02-25 11:15:45,2.6500000000000057,3.3757961783439567,False,IN,INR
Yes Bank Limited,12.6,13.15,12.85,13.35,10.5,16.9,13.15,14.05,2022-02-25 11:15:46,0.5500000000000007,4.365079365079371,True,IN,INR
Larsen & Toubro Limited,1757.35,1789.4,1770.65,1798.7,1306.0,2078.55,1788.2,1900,2022-02-25 11:15:47,32.05000000000018,1.8237687427092035,False,IN,INR
NTPC Limited,124.4,128.95,125.0,129.85,97.05,152.1,129.05,150,2022-02-25 11:15:48,4.549999999999983,3.6575562700964492,False,IN,INR
ITC Ltd,208.5,214.75,210.55,215.4,199.1,265.3,215.05,270,2022-02-25 11:15:49,6.25,2.997601918465228,False,IN,INR
Apple Inc,160.07,162.74,152.0,162.85,116.21,182.94,160,180,2022-02-25 11:15:51,2.670000000000016,1.668020241144509,True,US,Dollar
Tesla Inc,764.04,800.77,700.0,802.48,539.49,1243.49,800,900,2022-02-25 11:15:51,36.73000000000002,4.8073399298466075,True,US,Dollar
Amazon Inc,2896.54,3027.16,2790.0,3034.98,2707.04,3773.08,2900,3200,2022-02-25 11:15:52,130.6199999999999,4.509518252811972,True,US,Dollar
Meta Platform(Facebook),178.24,177.22,169.08,177.72,169.08,324.8,160,190,2022-02-25 11:15:53,-1.0200000000000102,-0.5722621184919268,True,US,Dollar
Alphabet Inc,2551.76,2653.82,2499.07,2660.0,1990.23,3030.93,2590,3000,2022-02-25 11:15:54,102.05999999999995,3.9995924381603256,True,US,Dollar
NVIDIA Corporation,223.87,237.48,208.9,238.0,115.67,346.47,230,300,2022-02-25 11:15:55,13.609999999999985,6.079421092598376,True,US,Dollar
Vodafone Idea Ltd,8.9,9.1,9.0,9.2,4.55,16.8,10.2,11.5,2022-05-21 13:19:25,0.1999999999999993,2.2471910112359472,True,IN,INR
Vodafone Idea Ltd,8.9,9.1,9.0,9.2,4.55,16.8,10.2,11.5,2022-05-21 13:20:27,0.1999999999999993,2.2471910112359472,True,IN,INR
Steel Authority of India Limited,80.2,83.1,81.6,83.45,78.85,145.9,91.35,130,2022-05-21 13:20:29,2.8999999999999915,3.6159600997506125,True,IN,INR
Birlasoft Ltd,382.95,383.0,381.5,393.0,215.9,585.85,405.75,500,2022-05-21 13:20:30,0.05000000000001137,0.0130565347956682,True,IN,INR
Trident Ltd,47.85,48.55,48.3,49.6,15.7,70.35,51.05,70,2022-05-21 13:20:32,0.6999999999999957,1.4629049111807644,True,IN,INR
KPIT Technologies Ltd,502.1,505.5,501.25,514.7,220.0,801.0,563.2,700,2022-05-21 13:20:34,3.3999999999999773,0.6771559450308657,True,IN,INR
Vodafone Idea Ltd,8.9,9.1,9.0,9.2,4.55,16.8,10.2,11.5,2022-05-21 13:44:34,0.1999999999999993,2.2471910112359472,True,IN,INR
Steel Authority of India Limited,80.2,83.1,81.6,83.45,78.85,145.9,91.35,130,2022-05-21 13:44:36,2.8999999999999915,3.6159600997506125,True,IN,INR
Birlasoft Ltd,382.95,383.0,381.5,393.0,215.9,585.85,405.75,500,2022-05-21 13:44:37,0.05000000000001137,0.0130565347956682,True,IN,INR
Trident Ltd,47.85,48.55,48.3,49.6,15.7,70.35,51.05,70,2022-05-21 13:44:39,0.6999999999999957,1.4629049111807644,True,IN,INR
KPIT Technologies Ltd,502.1,505.5,501.25,514.7,220.0,801.0,563.2,700,2022-05-21 13:44:41,3.3999999999999773,0.6771559450308657,True,IN,INR
Jubilant Ingrevia Ltd,438.1,450.0,442.35,452.0,401.2,838.75,486.9,700,2022-05-21 13:44:42,11.899999999999977,2.7162748230997438,False,IN,INR
Infosys Ltd,1427.15,1459.0,1446.7,1466.75,1335.0,1953.9,1700,2000,2022-05-21 13:44:44,31.84999999999991,2.231720561959143,False,IN,INR
Tata Power Company Limited,228.45,233.25,230.25,236.0,102.45,298.05,219,241.1,2022-05-21 13:44:46,4.800000000000011,2.1011162179908127,True,IN,INR
Tata Motors Limited,398.65,418.0,410.0,421.4,268.45,536.7,458.95,510,2022-05-21 13:44:47,19.350000000000023,4.8538818512479684,True,IN,INR
